	Season	Age	Tm	Lg	Pos	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	Player
21	2018-19	24	BOS	NBA	PG	10	0	22.7	2.7	7.6	.355	1.3	3.3	.394	1.4	4.3	.326	.441	0.8	1.0	.800	0.2	4.2	4.4	2.1	0.8	0.5	0.6	1.6	7.5	Terry Rozier
22	2007-08	21	ATL	NBA	C	81	77	31.4	4.1	8.2	.499	0.0	0.1	.000	4.1	8.2	.502	.499	1.9	2.6	.731	3.1	6.6	9.7	1.5	0.7	0.9	1.7	3.3	10.1	Al Horford
23	2008-09	22	ATL	NBA	C	67	67	33.5	4.7	8.9	.525	0.0	0.0	.000	4.7	8.9	.526	.525	2.2	3.1	.727	2.2	7.1	9.3	2.4	0.8	1.4	1.5	2.8	11.5	Al Horford
24	2009-10	23	ATL	NBA	C	81	81	35.1	5.8	10.5	.551	0.0	0.0	1.000	5.8	10.4	.551	.552	2.6	3.3	.789	2.9	7.0	9.9	2.3	0.7	1.1	1.5	2.8	14.2	Al Horford
25	2010-11	24	ATL	NBA	C	77	77	35.1	6.7	12.0	.557	0.0	0.1	.500	6.6	11.9	.557	.558	1.9	2.4	.798	2.4	7.0	9.3	3.5	0.8	1.0	1.5	2.5	15.3	Al Horford
26	2011-12	25	ATL	NBA	C	11	11	31.6	5.2	9.4	.553	0.0	0.1	.000	5.2	9.3	.559	.553	2.0	2.7	.733	2.4	4.6	7.0	2.2	0.9	1.3	1.5	1.9	12.4	Al Horford
27	2012-13	26	ATL	NBA	C	74	74	37.2	7.8	14.3	.543	0.0	0.1	.500	7.7	14.2	.544	.545	1.8	2.8	.644	2.6	7.6	10.2	3.2	1.1	1.1	2.0	2.2	17.4	Al Horford
28	2013-14	27	ATL	NBA	C	29	29	33.0	8.2	14.5	.567	0.1	0.4	.364	8.1	14.1	.572	.571	2.0	2.9	.682	2.3	6.1	8.4	2.6	0.9	1.5	2.2	1.9	18.6	Al Horford
29	2014-15	28	ATL	NBA	C	76	76	30.5	6.8	12.7	.538	0.1	0.5	.306	6.7	12.2	.547	.544	1.4	1.9	.759	1.7	5.4	7.2	3.2	0.9	1.3	1.3	1.6	15.2	Al Horford
30	2015-16	29	ATL	NBA	C	82	82	32.1	6.5	12.8	.505	1.1	3.1	.344	5.4	9.7	.557	.547	1.3	1.6	.798	1.8	5.5	7.3	3.2	0.8	1.5	1.3	2.0	15.2	Al Horford
31	2016-17	30	BOS	NBA	C	68	68	32.3	5.6	11.8	.473	1.3	3.6	.355	4.3	8.2	.524	.527	1.6	2.0	.800	1.4	5.4	6.8	5.0	0.8	1.3	1.7	2.0	14.0	Al Horford
32	2017-18	31	BOS	NBA	C	72	72	31.6	5.1	10.5	.489	1.3	3.1	.429	3.8	7.3	.514	.553	1.3	1.7	.783	1.4	5.9	7.4	4.7	0.6	1.1	1.8	1.9	12.9	Al Horford
33	2018-19	32	BOS	NBA	C	10	10	29.8	4.9	10.9	.450	1.4	4.8	.292	3.5	6.1	.574	.514	1.2	1.7	.706	1.8	4.5	6.3	4.0	0.7	1.2	1.6	2.1	12.4	Al Horford
34	2016-17	20	BOS	NBA	SF	78	20	17.2	2.5	5.4	.454	0.6	1.7	.341	1.9	3.7	.507	.508	1.1	1.6	.685	0.6	2.2	2.8	0.8	0.4	0.2	0.9	1.8	6.6	Jaylen Brown
35	2017-18	21	BOS	NBA	SG	70	70	30.7	5.3	11.5	.465	1.7	4.4	.395	3.6	7.1	.507	.540	2.1	3.3	.644	0.9	4.0	4.9	1.6	1.0	0.4	1.8	2.6	14.5	Jaylen Brown
36	2018-19	22	BOS	NBA	SG	9	9	29.2	4.3	11.4	.379	1.2	4.1	.297	3.1	7.3	.424	.432	1.6	2.6	.609	1.4	3.0	4.4	1.4	0.6	0.6	1.2	2.7	11.4	Jaylen Brown
37	2017-18	19	BOS	NBA	SF	80	80	30.5	5.0	10.4	.475	1.3	3.0	.434	3.7	7.4	.492	.538	2.7	3.2	.826	0.6	4.4	5.0	1.6	1.0	0.7	1.4	2.1	13.9	Jayson Tatum
38	2018-19	20	BOS	NBA	SF	10	10	32.8	5.4	13.3	.406	1.5	4.3	.349	3.9	9.0	.433	.462	3.4	3.8	.895	1.0	6.1	7.1	2.7	0.6	0.6	2.0	2.6	15.7	Jayson Tatum
39	2010-11	20	UTA	NBA	SF	72	17	16.9	2.0	4.1	.485	0.5	1.0	.473	1.5	3.0	.489	.544	1.0	1.3	.711	0.6	1.4	1.9	1.1	0.4	0.3	1.0	1.5	5.4	Gordon Hayward
40	2011-12	21	UTA	NBA	SF	66	58	30.5	4.0	8.9	.456	0.8	2.4	.346	3.2	6.5	.496	.503	2.9	3.5	.832	0.9	2.6	3.5	3.1	0.8	0.6	1.7	1.6	11.8	Gordon Hayward
