	Season	Age	Tm	Lg	Pos	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	Player
56	2011-12	26	MIL	NBA	SG	58	27	18.8	2.2	4.7	.469	0.0	0.1	.667	2.2	4.6	.466	.472	1.1	1.4	.785	0.7	1.4	2.1	2.1	0.5	0.3	1.1	1.4	5.5	Shaun Livingston
57	2012-13	27	TOT	NBA	PG	66	16	22.0	2.5	5.2	.480	0.0	0.1	.000	2.5	5.2	.485	.480	1.3	1.5	.867	0.5	1.9	2.4	3.3	0.7	0.5	1.2	1.9	6.3	Shaun Livingston
58	2012-13	27	WAS	NBA	PG	17	4	18.8	1.4	3.9	.364	0.0	0.2	.000	1.4	3.7	.381	.364	0.9	0.9	1.000	0.1	2.1	2.2	2.2	0.6	0.1	1.0	1.3	3.7	Shaun Livingston
59	2012-13	27	CLE	NBA	PG	49	12	23.2	2.9	5.7	.507	0.0	0.0	.000	2.9	5.7	.509	.507	1.4	1.7	.843	0.6	1.9	2.5	3.6	0.8	0.6	1.2	2.1	7.2	Shaun Livingston
60	2013-14	28	BRK	NBA	PG	76	54	26.0	3.1	6.4	.483	0.0	0.1	.167	3.1	6.3	.486	.484	2.1	2.5	.827	0.9	2.4	3.2	3.2	1.2	0.4	1.4	2.3	8.3	Shaun Livingston
61	2014-15	29	GSW	NBA	PG	78	2	18.8	2.5	5.1	.500	0.0	0.0	.000	2.5	5.1	.503	.500	0.8	1.2	.714	0.6	1.8	2.3	3.3	0.6	0.3	1.3	1.4	5.9	Shaun Livingston
62	2015-16	30	GSW	NBA	PG	78	3	19.5	2.6	4.9	.536	0.0	0.2	.167	2.6	4.7	.548	.538	1.0	1.2	.860	0.5	1.6	2.2	3.0	0.7	0.3	1.0	1.8	6.3	Shaun Livingston
63	2016-17	31	GSW	NBA	PG	76	3	17.7	2.3	4.2	.547	0.0	0.0	.333	2.3	4.1	.550	.549	0.6	0.8	.700	0.4	1.6	2.0	1.8	0.5	0.3	0.8	1.6	5.1	Shaun Livingston
64	2017-18	32	GSW	NBA	PG	71	7	15.9	2.4	4.8	.501	0.0	0.1	.000	2.4	4.8	.509	.501	0.7	0.9	.820	0.5	1.4	1.8	2.0	0.5	0.3	0.8	1.6	5.5	Shaun Livingston
65	2018-19	33	GSW	NBA	PG	4	0	14.3	2.3	4.0	.563	0.0	0.0		2.3	4.0	.563	.563	1.0	1.0	1.000	1.8	1.8	3.5	1.0	0.8	0.0	0.8	1.5	5.5	Shaun Livingston
66	2016-17	23	TOT	NBA	PG	14	0	13.4	2.4	4.7	.500	0.8	1.9	.423	1.6	2.9	.550	.583	0.1	0.4	.400	0.1	0.4	0.5	1.9	0.3	0.0	0.9	0.9	5.6	Quinn Cook
67	2016-17	23	DAL	NBA	PG	5	0	15.4	2.2	5.0	.440	1.0	2.8	.357	1.2	2.2	.545	.540	0.0	0.4	.000	0.0	0.6	0.6	2.4	0.2	0.0	1.6	1.2	5.4	Quinn Cook
68	2016-17	23	NOP	NBA	PG	9	0	12.3	2.4	4.6	.537	0.7	1.3	.500	1.8	3.2	.552	.610	0.2	0.3	.667	0.1	0.3	0.4	1.6	0.3	0.0	0.6	0.8	5.8	Quinn Cook
69	2017-18	24	GSW	NBA	PG	33	18	22.4	3.7	7.6	.484	1.4	3.2	.442	2.3	4.5	.514	.575	0.7	0.8	.880	0.3	2.2	2.5	2.7	0.4	0.0	1.0	1.8	9.5	Quinn Cook
70	2018-19	25	GSW	NBA	PG	8	0	11.4	2.0	4.5	.444	1.0	2.1	.471	1.0	2.4	.421	.556	0.9	1.0	.875	0.3	1.4	1.6	0.8	0.3	0.0	0.8	0.9	5.9	Quinn Cook
71	2018-19	21	GSW	NBA	SG	7	0	6.3	0.3	1.3	.222	0.0	0.1	.000	0.3	1.1	.250	.222	0.0	0.0		0.1	0.4	0.6	1.0	0.1	0.0	0.1	0.7	0.6	Jacob Evans
72	2010-11	20	SAC	NBA	C	81	62	28.5	5.3	12.4	.430	0.0	0.2	.167	5.3	12.2	.435	.432	3.4	5.0	.687	2.7	6.0	8.6	2.5	1.0	0.8	3.3	4.1	14.1	DeMarcus Cousins
73	2011-12	21	SAC	NBA	C	64	62	30.5	7.0	15.6	.448	0.0	0.2	.143	7.0	15.4	.453	.449	4.1	5.8	.702	4.1	6.8	11.0	1.6	1.5	1.2	2.7	4.0	18.1	DeMarcus Cousins
74	2012-13	22	SAC	NBA	C	75	74	30.5	6.4	13.8	.465	0.1	0.3	.182	6.4	13.5	.471	.467	4.2	5.6	.738	3.0	7.0	9.9	2.7	1.4	0.7	3.0	3.6	17.1	DeMarcus Cousins
75	2013-14	23	SAC	NBA	C	71	71	32.4	8.3	16.8	.496	0.0	0.1	.000	8.3	16.7	.499	.496	6.1	8.4	.726	3.1	8.6	11.7	2.9	1.5	1.3	3.5	3.8	22.7	DeMarcus Cousins
76	2014-15	24	SAC	NBA	C	59	59	34.1	8.4	18.1	.467	0.0	0.1	.250	8.4	17.9	.469	.468	7.2	9.2	.782	3.1	9.5	12.7	3.6	1.5	1.7	4.3	4.1	24.1	DeMarcus Cousins
77	2015-16	25	SAC	NBA	C	65	65	34.6	9.2	20.5	.451	1.1	3.2	.333	8.2	17.3	.473	.477	7.3	10.2	.718	2.4	9.1	11.5	3.3	1.6	1.4	3.8	3.6	26.9	DeMarcus Cousins
78	2016-17	26	TOT	NBA	C	72	72	34.2	9.0	19.9	.452	1.8	5.0	.361	7.2	14.8	.483	.498	7.2	9.3	.772	2.1	8.9	11.0	4.6	1.4	1.3	3.7	3.9	27.0	DeMarcus Cousins
79	2016-17	26	SAC	NBA	C	55	55	34.4	9.2	20.3	.452	1.7	4.9	.356	7.5	15.5	.482	.494	7.7	10.0	.770	2.1	8.5	10.6	4.8	1.4	1.3	3.8	3.7	27.8	DeMarcus Cousins
80	2016-17	26	NOP	NBA	C	17	17	33.8	8.4	18.5	.452	2.1	5.6	.375	6.2	12.8	.486	.510	5.5	7.1	.777	2.2	10.2	12.4	3.9	1.5	1.1	3.6	4.4	24.4	DeMarcus Cousins
81	2017-18	27	NOP	NBA	C	48	48	36.2	8.5	18.0	.470	2.2	6.1	.354	6.3	11.9	.530	.530	6.1	8.2	.746	2.2	10.7	12.9	5.4	1.6	1.6	5.0	3.8	25.2	DeMarcus Cousins
82	2007-08	19	SEA	NBA	SG	80	80	34.6	7.3	17.1	.430	0.7	2.6	.288	6.6	14.5	.455	.451	4.9	5.6	.873	0.9	3.5	4.4	2.4	1.0	0.9	2.9	1.5	20.3	Kevin Durant
83	2008-09	20	OKC	NBA	SF	74	74	39.0	8.9	18.8	.476	1.3	3.1	.422	7.6	15.7	.486	.510	6.1	7.1	.863	1.0	5.5	6.5	2.8	1.3	0.7	3.0	1.8	25.3	Kevin Durant
84	2009-10	21	OKC	NBA	SF	82	82	39.5	9.7	20.3	.476	1.6	4.3	.365	8.1	16.1	.506	.514	9.2	10.2	.900	1.3	6.3	7.6	2.8	1.4	1.0	3.3	2.1	30.1	Kevin Durant
85	2010-11	22	OKC	NBA	SF	78	78	38.9	9.1	19.7	.462	1.9	5.3	.350	7.3	14.4	.504	.509	7.6	8.7	.880	0.7	6.1	6.8	2.7	1.1	1.0	2.8	2.0	27.7	Kevin Durant
86	2011-12	23	OKC	NBA	SF	66	66	38.6	9.7	19.7	.496	2.0	5.2	.387	7.7	14.4	.535	.547	6.5	7.6	.860	0.6	7.4	8.0	3.5	1.3	1.2	3.8	2.0	28.0	Kevin Durant
87	2012-13	24	OKC	NBA	SF	81	81	38.5	9.0	17.7	.510	1.7	4.1	.416	7.3	13.6	.539	.559	8.4	9.3	.905	0.6	7.3	7.9	4.6	1.4	1.3	3.5	1.8	28.1	Kevin Durant
